family,level,compression,psnr,msssim
coif7,7,74.08398824543744,61.656830773900914,0.9944508066627048
coif7,8,74.08534245771472,62.84720898274581,0.9945079337508768
coif7,9,74.08045908616934,64.16029672131248,0.9945548726577907
coif7,10,74.08567075160013,66.47732404169014,0.9945800628400574
coif8,1,74.06080248978083,54.87038985606206,0.9935303182365178
coif8,2,74.07413942887533,56.94292794132078,0.993999756874936
coif8,3,74.07943316777747,58.82345187752105,0.9942782092701542
coif8,4,74.08324958419527,60.51296306224326,0.9944280269015827
coif8,5,74.08472690667959,62.049175718918,0.9945014497990419
coif8,6,74.08608111895688,63.099575766838086,0.9945244452133813
coif8,7,74.08624526589958,63.93878720368061,0.9945290383833203
coif8,8,74.08751740470552,64.93028963909019,0.9945500319936172
coif8,9,74.08435757605851,65.43375272831545,0.9945863272785489
coif8,10,74.08251092295312,69.13027577671477,0.9946444456819259
coif9,1,74.0253057134216,50.332028281347974,0.992119835926222
coif9,2,74.06942020427266,50.21617017273025,0.9921317380102007
coif9,3,74.100731233593,50.17784259594281,0.9922990520322825
coif9,4,74.1067225970016,50.16332559439305,0.9925257400378339
coif9,5,74.097571404946,50.138650688946754,0.9927302522811952
coif9,6,74.08936405781091,50.15358714117417,0.9928701319403974
coif9,7,74.08164915150394,50.240739342883344,0.9930079221089674
coif9,8,74.08612215569256,50.24427550393019,0.9931237765284182
coif9,9,74.08472690667959,50.180669043756026,0.9932001957950158
coif9,10,74.08205951886069,50.013515738890796,0.993234056151757
coif10,1,74.04537267716688,52.161445797493705,0.9926090446299776
coif10,2,74.07294936354076,52.76352614186101,0.9928743860971542
coif10,3,74.08283921683852,53.3285391062097,0.9931616885273806
coif10,4,74.0962171926687,53.84334053090991,0.9934086875675264
coif10,5,74.10011568255787,54.28892768373921,0.9935875702782763
coif10,6,74.09432950282763,54.69796586471311,0.9937130685356659
coif10,7,74.097571404946,55.19243156180132,0.9938546885388861
coif10,8,74.0973662212676,55.590309474763636,0.9939481316851408
coif10,9,74.09174418848009,55.81492493370109,0.9940567958837967
coif10,10,74.09145693133036,56.443418761418435,0.9941321486167134
coif11,1,74.05390831818735,55.53394584248567,0.9936887425459074
coif11,2,74.07233381250562,58.25403226924544,0.9941916694070443
